19:04:44,0
19:
19:04:45,80
19:
19:04:46,86
19:
19:04:47,86
19:
19:04:48,87
19:
19:04:49,75
19:
19:04:50,73
19:
19:04:51,71
19:
19:04:52,71
19:
19:04:53,75
19:
19:04:54,70
19:
19:04:55,71
19:
19:04:56,76
19:
19:04:57,87
19:
19:04:58,92
19:
19:04:59,92
19:
19:05:00,89
19:
19:05:01,85
19:
19:05:02,75
19:
19:05:03,95
19:
19:05:04,87
19:
19:05:05,85
19:
19:05:06,86
19:
19:05:07,74
19:
19:05:08,86
19:
19:05:09,82
19:
19:05:10,80
19:
19:05:11,74
19:
19:05:12,70
19:
19:05:13,77
19:
19:05:14,96
19:
19:05:15,114
19:
19:05:16,115
19:
19:05:17,107
19:
19:05:18,108
19:
19:05:19,111
19:
19:05:20,116
19:
19:05:21,120
19:
20:05:22,120

20:05:23,120

20:05:24,122

20:05:25,124

20:05:26,122

20:05:27,122

20:05:28,126

20:05:29,126

20:05:30,130

20:05:31,148

20:05:32,128

20:05:33,110

20:05:34,93

20:05:35,119

20:05:36,108

20:05:37,102

20:05:38,102

20:05:39,97

20:05:40,97

20:05:41,97

20:05:42,101

20:05:43,92

20:05:44,92

20:05:45,77

20:05:46,87

20:05:47,106

20:05:47,116

20:05:48,113

20:05:49,113

20:05:50,111

20:05:51,108

20:05:52,105

20:05:53,102

20:05:54,102

20:05:55,101

20:05:56,98

20:05:57,98

20:05:58,98

